VRP name,Latitude,Longitude,Associated Aerodrome,ICAO
GLOSSOP,532626N,0015504W,MANCHESTER,EGCC
GODSTONE (A25/B2236 JUNCTION),511450N,0000401W,REDHILL,EGKR
GODSTONE RAILWAY STATION,511305N,0000304W,REDHILL,EGKR
GOLF COURSE,514000N,0001256W,ELSTREE,EGTR
GOOLE DOCKS,534149N,0005240W,DONCASTER SHEFFIELD,EGCN
GREENOCK,555650.00N,0044505.00W,GLASGOW,EGPF
GRETNA,545944N,0030403W,CARLISLE,EGNC
GRIM'S TOWER,513722.45N,0002123.57W,LONDON HEATHROW,EGLL
GROOMSPORT,544030.00N,0053705.00W,BELFAST/CITY,EGAC
GUILDFORD,511422.00N,0003506.00W,"FARNBOROUGH, LONDON GATWICK","EGLF, EGKK"
HALTWHISTLE,545808N,0022744W,CARLISLE,EGNC
HANDCROSS,510310.00N,0001208.00W,LONDON GATWICK,EGKK
HANOIS LIGHTHOUSE,492606.00N,0024209.00W,"GUERNSEY, JERSEY","EGJB, EGJJ"
HARROGATE (HGT),535930.00N,0013136.00W,LEEDS BRADFORD,EGNM
HARTLEPOOL,544100.00N,0011250.00W,TEESSIDE INTERNATIONAL,EGNV
HAVERHILL,520457.00N,0002604.00E,LONDON STANSTED,EGSS
HAXEY,532925N,0005037W,DONCASTER SHEFFIELD,EGCN
HAYWARDS HEATH,510027.00N,0000546.00W,LONDON GATWICK,EGKK
HAZELEND WOOD,515338.88N,0001015.05E,LONDON STANSTED,EGSS
HEADS OF AYR,552558N,0044247W,PRESTWICK,EGPK
HEAUVILLE,493459.00N,0014807.00W,"GUERNSEY, JERSEY","EGJB, EGJJ"
HELSBY HILL,531624.31N,0024547.64W,LIVERPOOL,EGGP
HENGISTBURY HEAD,504243.00N,0014456.00W,BOURNEMOUTH,EGHH
HERM ISLAND,492818.07N,0022655.46W,"GUERNSEY, JERSEY","EGJB, EGJJ"
"HERMISTON (M8, JUNCTION 1)",555530N,0031843W,EDINBURGH,EGPH
HETHEL DISUSED,523345N,0011030E,NORWICH,EGSH
HEXHAM,545815.00N,0020610.00W,NEWCASTLE,EGNT
HILLEND SKI SLOPE,555318.00N,0031230.00W,EDINBURGH,EGPH
HILLSWICK,602833N,0012919W,SCATSTA,EGPM
HILLTOP,532030.00N,0021027.00W,MANCHESTER,EGCC
HOOK,511646N,0005743W,FARNBOROUGH,EGLF
HULTON INDUSTRIAL ESTATE,533206.28N,0022704.56W,MANCHESTER BARTON,EGCB
HURST CASTLE,504229N,0013301W,BOURNEMOUTH,EGHH
HYDE,515039.00N,0002158.00W,LONDON LUTON,EGGW
IMMINGHAM DOCKS,533742N,0001136W,HUMBERSIDE,EGNJ
INSCH,572034.00N,0023651.00W,ABERDEEN/DYCE,EGPD
INSKIP (DISUSED AD),534938N,0025003W,BLACKPOOL,EGNH
INVERGORDON,574132N,0041003W,INVERNESS,EGPE
INVERKIP POWER STATION,555354.00N,0045312.00W,GLASGOW,EGPF
IRLAM,532620N,0022447W,"MANCHESTER, MANCHESTER BARTON","EGCC, EGCB"
IRVINE HARBOUR,553639N,0044155W,PRESTWICK,EGPK
JAGUAR CAR FACTORY,532112.66N,0025008.80W,LIVERPOOL,EGGP
JODRELL BANK,531411.00N,0021833.00W,MANCHESTER,EGCC
KEIGHLEY (KLY),535200.00N,0015436.00W,LEEDS BRADFORD,EGNM
KEISS VILLAGE,583200N,0030724W,WICK,EGPC
